Work order,Date,Color,Texure,Size,Quantity in,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FG-MAR-01,06-Mar-24,2N,Weft,EBW,"22""",240
FG-MAR-02,06-Mar-24,2N,Poly,Reg,"20""",240
FG-MAR-04,19-Mar-24,6R,Weft,Reg,"18""",240
UK-HS-01,20-Mar-24,2N,Poly,Reg,"16""",240
FG-FEB-02,21-Feb-24,1N,Weft,Reg,"22""",240
FG-APR-01,16-Apr-24,10N,Weft,Reg,"18""",240
FG-APR-02,16-Apr-24,10N,Weft,Reg,"18""",240
FG-JAN-21,04-Apr-24,5N,Weft,Reg,"18""",240
FG-FEB-01,08-Apr-24,1N,Weft,Reg,"18""",240
FG-FEB-03,,2A,Weft,Reg,"18""",240
FG-MAR-05,29-Apr-24,1N,Weft,Reg,"18""",240
FG-JAN-22,29-Apr-24,5N,Weft,Reg,"22""",240
FG-MAR-06,06-May-24,6N,Weft,Reg,"18""",240
FG-APR-04,08-Apr-24,7G,Weft,Reg,"18""",240
FG-FEB-04,05-Feb-24,7G/10N,Cy,Reg,"16""",240
UK-HS-02,13-Feb-24,3B,Poly,Reg,"16""",240
